Title,Rated
Sunshine,R
The Hunting Party,R
Red Cliff,R
The Last Shot,R
The Warlords,R
Nomad: The Warrior,R
The Crow,R
The Ugly Truth,R
The Hurricane,R
Riddick,R
Precious,R
Angel Eyes,R
The Ninth Gate,R
Unforgiven,R
Extreme Measures,R
Rock Star,R
Switchback,R
Virgin Territory,R
The Master,R
We're the Millers,R
The Town,R
Burn After Reading,R
How to Be Single,R
Cop Out,R
Raging Bull,R
Hot Tub Time Machine,R
Breakdown,R
A Man Apart,R
Reindeer Games,R
Isn't She Great,R
The Hangover,R
Heat,R
Lethal Weapon 3,R
Identity Thief,R
Horrible Bosses,R
Trainwreck,R
Die Hard,R
Cape Fear,R
The English Patient,R
This Is 40,R
A Nightmare on Elm Street,R
The Cell,R
Species,R
Friends with Benefits,R
Neighbors 2: Sorority Rising,R
Chinatown,R
Underworld: Rise of the Lycans,R
Donnie Brasco,R
Resident Evil,R
The Ladykillers,R
J. Edgar,R
Closer,R
House of Wax,R
Mirrors,R
Queen of the Damned,R
Untraceable,R
Predator 2,R
Midnight in the Garden of Good and Evil,R
Heist,R
Hoffa,R
Broken City,R
Wonder Boys,R
Walk Hard: The Dewey Cox Story,R
Parker,R
Bait,R
Lions for Lambs,R
The Shipping News,R
Sabotage,R
Knock Off,R
Whiteout,R
Unfinished Business,R
Room,R
Punisher: War Zone,R
The Order,R
Femme Fatale,R
Biutiful,R
"Blood In, Blood Out",R
Smilla's Sense of Snow,R
The Horseman on the Roof,R
Ride with the Devil,R
Stolen,R
Logan,R
Chill Factor,R
The Astronaut's Wife,R
A Few Good Men,R
Blade Runner,R
Exit Wounds,R
Snakes on a Plane,R
The Punisher,R
The Watcher,R
Safe,R
Doomsday,R
Pushing Tin,R
"Lock, Stock and Two Smoking Barrels",R
Bridesmaids,R
The Reader,R
The Big Wedding,R
Wanderlust,R
This Is the End,R
Casino,R
Stigmata,R
Men of Honor,R
Alive,R
The Number 23,R
A History of Violence,R
The Quick and the Dead,R
Going the Distance,R
Bringing Out the Dead,R
Repo Men,R
Cradle Will Rock,R
The Good German,R
Criminal,R
Flight,R
Vacation,R
Get Shorty,R
American Pie 2,R
Speed,R
V for Vendetta,R
District 9,R
Analyze This,R
Mystic River,R
The Wolf of Wall Street,R
Up in the Air,R
The Prince of Tides,R
Four Brothers,R
Legends of the Fall,R
Looper,R
About Schmidt,R
Forgetting Sarah Marshall,R
Hacksaw Ridge,R
Blow,R
Southpaw,R
Atonement,R
Sicario,R
Black Rain,R
The Cabin in the Woods,R
30 Days of Night,R
Midnight Run,R
The Running Man,R
Carrie,R
Love & Other Drugs,R
Side Effects,R
Trainspotting,R
Deliver Us from Evil,R
The Five-Year Engagement,R
Bulworth,R
Virtuosity,R
One True Thing,R
The Deer Hunter,R
Sanctum,R
Assault on Precinct 13,R
Runner Runner,R
The Replacement Killers,R
North Country,R
Fright Night,R
Fled,R
Splice,R
88 Minutes,R
Pride and Glory,R
Gran Torino,R
The Last Stand,R
In Dreams,R
Dead Man Down,R
The Big Lebowski,R
Barney's Version,R
Glory,R
The Assassination of Jesse James by the Coward Robert Ford,R
The Merchant of Venice,R
The Good Thief,R
The Thing,R
Machine Gun Preacher,R
1911,R
Wild Card,R
The Color of Freedom,R
Sausage Party,R
Ripley's Game,R
The Boss,R
Once Upon a Time in Mexico,R
Frost/Nixon,R
Seed of Chucky,R
Fargo,R
Confessions of a Dangerous Mind,R
Taking Woodstock,R
Mumford,R
The Jacket,R
Straight Outta Compton,R
Along Came a Spider,R
The Big Short,R
Role Models,R
Dawn of the Dead,R
The Royal Tenenbaums,R
Identity,R
Kick-Ass,R
Timecop,R
30 Minutes or Less,R
Dracula 2000,R
Rob Roy,R
Kick-Ass 2,R
We Own the Night,R
A Walk Among the Tombstones,R
Lost Souls,R
No Country for Old Men,R
"Mystery, Alaska",R
Ghosts of Mars,R
Our Brand Is Crisis,R
How to Lose Friends & Alienate People,R
Knocked Up,R
Notes on a Scandal,R
Rendition,R
There Will Be Blood,R
Kiss the Girls,R
The Blues Brothers,R
Money Monster,R
Lake Placid,R
Lucky Number Slevin,R
Into the Wild,R
Dark City,R
Case 39,R
Suspect Zero,R
Formula 51,R
Flawless,R
Mindhunters,R
Kill Bill: Vol. 1,R
What Just Happened,R
The Statement,R
The 40-Year-Old Virgin,R
Shakespeare in Love,R
Pineapple Express,R
Gone Girl,R
Flatliners,R
Open Range,R
Pain & Gain,R
Final Destination 2,R
Legion,R
Life of Brian,R
Song to Song,R
Brothers,R
Original Sin,R
The Raven,R
Network,R
The Fifth Estate,R
Blood and Wine,R
Blood Ties,R
Snow White: A Tale of Terror,R
Shutter Island,R
The Constant Gardener,R
The Passion of the Christ,R
The Bodyguard,R
In the Name of the Father,R
Freddy vs. Jason,R
The Untouchables,R
Bridget Jones's Diary,R
Rush,R
No Strings Attached,R
Contraband,R
Tombstone,R
Romeo Must Die,R
The Omen,R
Final Destination 3,R
The Grey,R
Hide and Seek,R
Nothing to Lose,R
Money Talks,R
Platoon,R
August: Osage County,R
Kiss of the Dragon,R
Jeepers Creepers II,R
Good Luck Chuck,R
Cradle 2 the Grave,R
The Gambler,R
Bride of Chucky,R
The Sitter,R
Elizabeth,R
Don't Be Afraid of the Dark,R
War,R
Stand by Me,R
He Got Game,R
Punch-Drunk Love,R
EuroTrip,R
The Ruins,R
The Counsellor,R
"Bright Lights, Big City",R
Legend,R
My Soul to Take,R
The Girl Next Door,R
Maximum Risk,R
Angela's Ashes,R
Lifeforce,R
Michael Collins,R
Stop-Loss,R
Straw Dogs,R
Stone Cold,R
The Road,R
The Hoax,R
Say It Isn't So,R
The Best Offer,R
Tank Girl,R
Blindness,R
Carnage,R
BloodRayne,R
The Legend of 1900,R
Bad Lieutenant: Port of Call New Orleans,R
Jane Got a Gun,R
Where the Truth Lies,R
On the Road,R
Love Ranch,R
Spotlight,R
Ironclad,R
Dangerous Liaisons,R
Scream 2,R
Old School,R
The Whole Nine Yards,R
The Fisher King,R
I Still Know What You Did Last Summer,R
The Men Who Stare at Goats,R
Zack and Miri Make a Porno,R
Nurse Betty,R
"Girl, Interrupted",R
Piranha 3D,R
Faster,R
Play It to the Bone,R
Zombieland,R
Bad Boys,R
Final Destination,R
The Ides of March,R
Pitch Black,R
12 Years a Slave,R
Her,R
Joy Ride,R
Haywire,R
The Grand Budapest Hotel,R
The End of the Affair,R
Harley Davidson and the Marlboro Man,R
In the Valley of Elah,R
Chéri,R
Forsaken,R
The Water Diviner,R
Mad Max: Fury Road,R
There's Something About Mary,R
Underworld,R
Derailed,R
The Informant!,R
Jay and Silent Bob Strike Back,R
Our Kind of Traitor,R
Deuce Bigalow: European Gigolo,R
Homefront,R
Summer of Sam,R
Hit and Run,R
I Heart Huckabees,R
Out of the Furnace,R
The Libertine,R
Black Book,R
Before I Go to Sleep,R
Stone,R
Michael Clayton,R
Arlington Road,R
To Rome with Love,R
Silver Linings Playbook,R
"South Park: Bigger, Longer & Uncut",R
Death at a Funeral,R
For Colored Girls,R
Tinker Tailor Soldier Spy,R
The Rage: Carrie 2,R
Away We Go,R
Bitter Harvest,R
eXistenZ,R
The Best Little Whorehouse in Texas,R
Before Sunrise,R
Beverly Hills Cop II,R
The Conjuring,R
Jackass 3D,R
The Descendants,R
Bad Moms,R
The French Connection,R
Orphan,R
How Stella Got Her Groove Back,R
The American,R
House of the Dead,R
"Paris, Texas",R
A Very Harold & Kumar 3D Christmas,R
Texas Chainsaw 3D,R
Babel,R
This Is Where I Leave You,R
Team America: World Police,R
Copycat,R
She's Out of My League,R
Milk,R
The Last Picture Show,R
The Debt,R
Ghost Ship,R
Daybreakers,R
The Bank Job,R
Wild Things,R
High Fidelity,R
Eye for an Eye,R
Street Kings,R
The World's End,R
From Dusk Till Dawn,R
To Die For,R
Vampires,R
Appaloosa,R
Reign Over Me,R
My Best Friend's Girl,R
Georgia Rule,R
Silent Hill: Revelation,R
Kung Fu Hustle,R
21 Grams,R
Capitalism: A Love Story,R
What's Your Number?,R
Prisoners,R
Crank: High Voltage,R
Burnt,R
Bullets Over Broadway,R
The Quiet American,R
Triple 9,R
The Weather Man,R
Donnie Darko,R
Undisputed,R
Let Me In,R
Mrs Henderson Presents,R
Deconstructing Harry,R
Everyone Says I Love You,R
Death Sentence,R
Inherent Vice,R
Machete Kills,R
Strange Wilderness,R
Topsy-Turvy,R
A Most Violent Year,R
A Dangerous Method,R
A Scanner Darkly,R
Birth,R
Passchendaele,R
I'm Not There.,R
"Synecdoche, New York",R
The Proposition,R
Marci X,R
The Children of Huang Shi,R
The Yards,R
All Good Things,R
By the Sea,R
Rapa Nui,R
People I Know,R
Regression,R
Three Kingdoms: Resurrection of the Dragon,R
Shattered,R
Hands of Stone,R
The Baader Meinhof Complex,R
The Frozen Ground,R
The Devil's Double,R
Scream,R
Bad Teacher,R
Sea of Love,R
Thir13en Ghosts,R
House on Haunted Hill,R
The Crazies,R
Sex Drive,R
Take Me Home Tonight,R
Kansas City,R
Land of the Dead,R
Indignation,R
The Amityville Horror,R
Adaptation.,R
Fear and Loathing in Las Vegas,R
Neighbors,R
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,R
Deuce Bigalow: Male Gigolo,R
Bad Santa,R
Predator,R
Birdman or (The Unexpected Virtue of Ignorance),R
Gosford Park,R
United 93,R
The Fog,R
Catch-22,R
Observe and Report,R
The Terminator,R
127 Hours,R
Steve Jobs,R
Life as a House,R
Youth in Revolt,R
Blow Out,R
The Tailor of Panama,R
The Ice Storm,R
Being Julia,R
9½ Weeks,R
The Last Station,R
Ed Wood,R
Mongol: The Rise of Genghis Khan,R
RocknRolla,R
The Railway Man,R
Metallica Through the Never,R
Anything Else,R
The White Ribbon,R
The Salton Sea,R
The Informers,R
One Man's Hero,R
Renaissance,R
I Am Wrath,R
The Prince,R
Wolves,R
T2 Trainspotting,R
Red Lights,R
Superbad,R
Hitman,R
Beerfest,R
City of Ghosts,R
Let's Be Cops,R
I Know What You Did Last Summer,R
Sideways,R
The Best Man Holiday,R
Halloween,R
Evil Dead,R
Saw 3D: The Final Chapter,R
The Hills Have Eyes,R
40 Days and 40 Nights,R
Smokin' Aces,R
Brooklyn's Finest,R
A Simple Plan,R
Twelve Monkeys,R
Running Scared,R
Veronica Guerin,R
Southland Tales,R
Escobar: Paradise Lost,R
Fur: An Imaginary Portrait of Diane Arbus,R
Hobgoblins,R
Dog Day Afternoon,R
Wall Street,R
House of Sand and Fog,R
When Harry Met Sally...,R
Road Trip,R
The Verdict,R
Varsity Blues,R
The Texas Chainsaw Massacre: The Beginning,R
Double Impact,R
Baby Boy,R
Hot Fuzz,R
Jennifer's Body,R
Soul Plane,R
The Thirteenth Floor,R
Highlander,R
Duets,R
Detroit Rock City,R
Things We Lost in the Fire,R
The Homesman,R
Trance,R
The Immigrant,R
Before Sunset,R
Good,R
Tidal Wave,R
Zulu,R
Ararat,R
Slow Burn,R
Wasabi,R
Slither,R
Beverly Hills Cop,R
Bad Grandpa,R
Private Benjamin,R
National Lampoon's Vacation,R
Cop Land,R
Wag the Dog,R
End of Watch,R
The Faculty,R
What's Love Got to Do with It,R
Dogville,R
Not Another Teen Movie,R
Wild,R
Drive,R
Halloween II,R
The Last House on the Left,R
Halloween: Resurrection,R
The Object of My Affection,R
28 Weeks Later,R
Grosse Pointe Blank,R
Book of Shadows: Blair Witch 2,R
Boogie Nights,R
The November Man,R
The Craft,R
Match Point,R
Nowhere to Run,R
Urban Legends: Final Cut,R
The Place Beyond the Pines,R
Papillon,R
The Hills Have Eyes II,R
Keanu,R
Disturbing Behavior,R
A Most Wanted Man,R
The Hurt Locker,R
Eye of the Beholder,R
The Man with the Iron Fists,R
Firestarter,R
Killing Them Softly,R
Freddy Got Fingered,R
Highlander: Endgame,R
Idlewild,R
Confidence,R
Knockaround Guys,R
Brazil,R
Sin City,R
Black Snake Moan,R
Dark Blue,R
A Mighty Heart,R
Boat Trip,R
In Bruges,R
Promised Land,R
Mulholland Drive,R
Three Burials,R
Kiss Kiss Bang Bang,R
Idle Hands,R
You Will Meet a Tall Dark Stranger,R
Never Let Me Go,R
Transsiberian,R
The Clan of the Cave Bear,R
Funny Games,R
District B13,R
Things to Do in Denver When You're Dead,R
Buffalo Soldiers,R
Centurion,R
On-Bak 2,R
Silent Trigger,R
The Midnight Meat Train,R
Winnie Mandela,R
The Son of No One,R
The Good Night,R
Bathory: Countess of Blood,R
Automata,R
Broken Horses,R
Shinjuku Incident,R
In Dubious Battle,R
Magic Mike XXL,R
Freedom,R
Pretty Woman,R
Fatal Attraction,R
Born on the Fourth of July,R
My Bloody Valentine,R
Urban Legend,R
Poetic Justice,R
All About the Benjamins,R
Exorcist II: The Heretic,R
Vampire in Brooklyn,R
A Perfect Getaway,R
Thinner,R
The Exorcist,R
Dead Man on Campus,R
Jason X,R
I Think I Love My Wife,R
Hot Tub Time Machine 2,R
Bobby,R
Little Children,R
Gossip,R
A Walk on the Moon,R
Mr. Turner,R
The Lucky Ones,R
Reign of Assassins,R
Margaret,R
Stan Helsing,R
Brokeback Mountain,R
Seven Psychopaths,R
Quills,R
The Caveman's Valentine,R
Under the Skin,R
"Good Morning, Vietnam",R
Black Swan,R
The Butterfly Effect,R
A Nightmare on Elm Street 4: The Dream Master,R
About Last Night,R
Young Guns,R
Pink Floyd: The Wall,R
The Big Hit,R
Child's Play 2,R
21 & Over,R
The Mist,R
The King's Speech,R
Ex Machina,R
Being John Malkovich,R
Two Can Play That Game,R
Letters from Iwo Jima,R
54,R
Woo,R
Serial Mom,R
Light It Up,R
Birthday Girl,R
"Paris, je t'aime",R
Chloe,R
The Widow of Saint-Pierre,R
Faithful,R
I Love You Phillip Morris,R
Find Me Guilty,R
Excessive Force,R
Infamous,R
Attack the Block,R
The Claim,R
In the Land of Blood and Honey,R
The Killer Inside Me,R
JFK,R
The Call,R
Machete,R
Quest for Fire,R
True Romance,R
Sorority Row,R
Sling Blade,R
Glengarry Glen Ross,R
Cat People,R
Solitary Man,R
Dancer in the Dark,R
Casino Jack,R
Oscar and Lucinda,R
The Funeral,R
Blood Diamond,R
Tae Guk Gi: The Brotherhood of War,R
American Pie,R
Magnolia,R
Act of Valor,R
Witness,R
Project X,R
Jackie Brown,R
Rain Man,R
Harold & Kumar Escape from Guantanamo Bay,R
Quarantine,R
One Hour Photo,R
The Revenant,R
How High,R
Crank,R
Frida,R
Top Five,R
Rounders,R
Stir of Echoes,R
Tales from the Crypt: Demon Knight,R
The Boys from Brazil,R
The Upside of Anger,R
Nebraska,R
Young Adult,R
About Time,R
How to Be a Player,R
Living Out Loud,R
Rachel Getting Married,R
The Postman Always Rings Twice,R
Sorority Boys,R
Cadillac Records,R
Arbitrage,R
Deadpool,R
Running with Scissors,R
Fortress,R
For Greater Glory: The True Story of Cristiada,R
Celebrity,R
Girl 6,R
In the Cut,R
Charlie Bartlett,R
Two Lovers,R
The Wild Bunch,R
Last Orders,R
The Host,R
Ravenous,R
The Dangerous Lives of Altar Boys,R
Stoker,R
2046,R
Brother,R
Welcome to Collinwood,R
The Life Before Her Eyes,R
Critical Care,R
Trade,R
Fateless,R
"A Woman, a Gun and a Noodle Shop",R
Breakfast of Champions,R
Cypher,R
City of Life and Death,R
Trash,R
5 Days of War,R
10 Days in a Madhouse,R
Triangle,R
Pet Sematary,R
Dirty Grandpa,R
The Cry of the Owl,R
The Fighter,R
Jackass Number Two,R
My Cousin Vinny,R
Major League,R
Phone Booth,R
Dead Man Walking,R
Cruel Intentions,R
Short Term 12,R
History of the World: Part I,R
Saw VI,R
Raising Cain,R
The Ladies Man,R
Tomcats,R
Inside Llewyn Davis,R
Frailty,R
Army of Darkness,R
Kinsey,R
Slackers,R
Vera Drake,R
The Guru,R
O,R
The Perez Family,R
Romance & Cigarettes,R
Brighton Rock,R
Misconduct,R
Saw V,R
Slumdog Millionaire,R
Jindabyne,R
Kabhi Alvida Naa Kehna,R
The Last Days on Mars,R
Space Mutiny,R
September Dawn,R
Saw III,R
The Purge: Election Year,R
Saw IV,R
The Color of Money,R
Jeepers Creepers,R
Commando,R
Friday After Next,R
The Lawnmower Man,R
Dogma,R
The Banger Sisters,R
Road House,R
A Low Down Dirty Shame,R
Sinister 2,R
The Dead Zone,R
Valentine,R
Reno 911!: Miami,R
Sugar Hill,R
Invasion U.S.A.,R
Rushmore,R
Mo' Better Blues,R
Wrong Turn,R
The Long Riders,R
The Corruptor,R
"The Goods: Live Hard, Sell Hard",R
My Week with Marilyn,R
The Matador,R
Love Jones,R
The Gift,R
Office Space,R
The Red Violin,R
Very Bad Things,R
Movie 43,R
Body Double,R
MacGruber,R
Dirty Pretty Things,R
Bad Words,R
While We're Young,R
Seeking a Friend for the End of the World,R
Cedar Rapids,R
The Collection,R
Deuces Wild,R
Danny Collins,R
I Am Love,R
"Jeff, Who Lives at Home",R
Crash,R
Romeo Is Bleeding,R
The Limey,R
Rosewater,R
Malone,R
Bucky Larson: Born to Be a Star,R
Bamboozled,R
The Iceman,R
Spider,R
Gun Shy,R
The Joneses,R
Killer Joe,R
Cecil B. DeMented,R
Owning Mahowny,R
The Brothers Solomon,R
Illuminata,R
Coriolanus,R
Swept Away,R
"War, Inc.",R
Imaginary Heroes,R
High Heels and Low Lifes,R
World's Greatest Dad,R
"Cinco de Mayo, La Batalla",R
Welcome to the Rileys,R
Severance,R
Edmond,R
The Good the Bad the Weird,R
The Good Guy,R
Eulogy,R
An Alan Smithee Film: Burn Hollywood Burn,R
Strangerland,R
The Janky Promoters,R
The Oxford Murders,R
The Reef,R
Fifty Dead Men Walking,R
Plastic,R
Adam Resurrected,R
The Devil's Tomb,R
Partition,R
Detention,R
Nurse 3D,R
Into the Grizzly Maze,R
Kicks,R
American Heist,R
Adventureland,R
The Lost City,R
Next Friday,R
The Runaways,R
Re-Kill,R
Volver,R
Melancholia,R
Heavy Metal,R
Richard III,R
The Texas Chain Saw Massacre,R
The Purge: Anarchy,R
Set It Off,R
The Best Man,R
Child's Play,R
Trading Places,R
Harold & Kumar Go to White Castle,R
The Contender,R
Boiler Room,R
Black Christmas,R
The Savages,R
The Way of the Gun,R
Hamlet 2,R
Igby Goes Down,R
Trust the Man,R
Velvet Goldmine,R
The Legend of Suriyothai,R
Two Evil Eyes,R
All or Nothing,R
Skin Trade,R
Beneath Hill 60,R
Veronika Decides to Die,R
The Haunting in Connecticut 2: Ghosts of Georgia,R
"Ultramarines: A Warhammer 40,000 Movie",R
The I Inside,R
Awake,R
Crazy Heart,R
Nightcrawler,R
The Lost Boys,R
The Rose,R
Election,R
Club Dread,R
Repo! The Genetic Opera,R
Limbo,R
Little Miss Sunshine,R
28 Days Later...,R
50/50,R
A Thin Line Between Love and Hate,R
That Awkward Moment,R
New Nightmare,R
Half Baked,R
Begin Again,R
American Psycho,R
The Good Girl,R
Bon Cop Bad Cop,R
The Boondock Saints II: All Saints Day,R
The Inkwell,R
Shadow of the Vampire,R
Woman on Top,R
Anomalisa,R
Showdown in Little Tokyo,R
8 Women,R
Clay Pigeons,R
Made in Dagenham,R
The Wicked Lady,R
Down in the Valley,R
Brooklyn Rules,R
Dracula 3000,R
The Singing Detective,R
Fido,R
The Land Girls,R
Pathology,R
10th & Wolf,R
Aloft,R
Akira,R
The Death and Life of Bobby Z,R
Swelter,R
Green Street 3: Never Back Down,R
Code of Honor,R
Imagine Me & You,R
Swimming Pool,R
The Blood of Heroes,R
Soul Food,R
Rumble in the Bronx,R
Thank You for Smoking,R
Hostel: Part II,R
Extract,R
Narc,R
Shopgirl,R
The Hotel New Hampshire,R
Men with Brooms,R
Albert Nobbs,R
The Neon Demon,R
Code 46,R
Pound of Flesh,R
Harry Brown,R
Magic Mike,R
Flashdance,R
The Piano,R
Capote,R
The Descent,R
Desperado,R
Action Jackson,R
Dope,R
The Devil's Rejects,R
Devil's Due,R
Flirting with Disaster,R
In Too Deep,R
House of 1000 Corpses,R
A Serious Man,R
A Single Man,R
Warlock,R
The Last Temptation of Christ,R
Outside Providence,R
Cyrus,R
Split Second,R
Redbelt,R
Auto Focus,R
We Need to Talk About Kevin,R
Somewhere,R
Factory Girl,R
I Hope They Serve Beer in Hell,R
Losin' It,R
Mother and Child,R
Les visiteurs,R
Dom Hemingway,R
The Extra Man,R
Hesher,R
Gerry,R
Wah-Wah,R
The Heart of Me,R
Ca$h,R
The Boondock Saints,R
Twixt,R
Pale Rider,R
Dazed and Confused,R
Two Lovers and a Bear,R
The Chumscrubber,R
Shade,R
"Remember Me, My Love",R
Perrier's Bounty,R
Elite Squad,R
Annabelle,R
Boyz n the Hood,R
Dressed to Kill,R
Go,R
Friends with Money,R
Nowhere in Africa,R
Layer Cake,R
The Messenger,R
A Home at the End of the World,R
Tracker,R
Good Bye Lenin!,R
Control,R
The Damned United,R
The Return of the Living Dead,R
Mallrats,R
Fahrenheit 9/11,R
Ordinary People,R
Caddyshack,R
The Brothers,R
The Wrestler,R
Do the Right Thing,R
Escape from New York,R
The Wood,R
A Nightmare on Elm Street 5: The Dream Child,R
Van Wilder: Party Liaison,R
The Last King of Scotland,R
School Daze,R
Mystic Pizza,R
Tales from the Hood,R
Halloween 5,R
Pollock,R
200 Cigarettes,R
Casa de mi Padre,R
The Guard,R
The Virgin Suicides,R
College,R
Little Voice,R
Miss March,R
Wish I Was Here,R
Hedwig and the Angry Inch,R
The Wackness,R
Novocaine,R
Surf School,R
The Business of Strangers,R
Morvern Callar,R
The Flower of Evil,R
Come Early Morning,R
The Greatest,R
Deadfall,R
"Surfer, Dude",R
Don McKay,R
11:14,R
Men of War,R
Freaky Deaky,R
The Hit List,R
Videodrome,R
L'auberge espagnole,R
Winter in Wartime,R
The Protector,R
Stiff Upper Lips,R
[Rec] 2,R
Don Jon,R
High Plains Drifter,R
Ghost World,R
Iris,R
Galaxina,R
Mambo Italiano,R
Wonderland,R
Harvard Man,R
Salvation Boulevard,R
Headhunters,R
The Ten,R
A Room for Romeo Brass,R
Wilson,R
Dum Maaro Dum,R
Paranormal Activity 3,R
Saw II,R
Jackass: The Movie,R
Paranormal Activity 4,R
A Nightmare on Elm Street 3: Dream Warriors,R
Freddy's Dead: The Final Nightmare,R
Monster,R
Paranormal Activity: The Marked Ones,R
Oculus,R
Dallas Buyers Club,R
No Escape,R
Our Idiot Brother,R
Clerks II,R
The Players Club,R
Billy Elliot,R
"As Above, So Below",R
House Party 2,R
Mommie Dearest,R
Halloween 4: The Return of Michael Myers,R
Addicted,R
Halloween: The Curse of Michael Myers,R
Eve's Bayou,R
Nighthawks,R
Friday the 13th Part VIII: Jason Takes Manhattan,R
Spring Breakers,R
Y Tu Mamá También,R
Shaun of the Dead,R
Lone Star,R
April Fool's Day,R
Diner,R
Sunshine Cleaning,R
Fifty Shades of Black,R
The Perfect Match,R
The Barbarian Invasions,R
The Forsaken,R
Grandma's Boy,R
Slums of Beverly Hills,R
Made,R
Moon,R
The Sweet Hereafter,R
Jekyll and Hyde... Together Again,R
Green Room,R
Heavenly Creatures,R
Everything Must Go,R
Kill the Messenger,R
Zero Effect,R
The Machinist,R
Light Sleeper,R
Party Monster,R
The Oh in Ohio,R
Bottle Rocket,R
Albino Alligator,R
Standard Operating Procedure,R
Tucker and Dale vs Evil,R
Out of the Blue,R
Desert Blue,R
Decoys,R
Redacted,R
Rudderless,R
Fascination,R
Area 51,R
Dead Like Me: Life After Death,R
Farce of the Penguins,R
Born of War,R
Dying of the Light,R
The Hatching,R
I Served the King of England,R
The Awakening,R
All Hat,R
Hostel,R
Only God Forgives,R
Take Shelter,R
Tristram Shandy: A Cock and Bull Story,R
Lady in White,R
Without Men,R
Pat Garrett & Billy the Kid,R
The Names of Love,R
Police Academy,R
Alone in the Dark,R
Four Weddings and a Funeral,R
The Blue Lagoon,R
Fast Times at Ridgemont High,R
25th Hour,R
Bound,R
Salvador,R
Character,R
Spun,R
Life During Wartime,R
Lady Vengeance,R
Blackthorn,R
Lilya 4-Ever,R
After.Life,R
Mean Machine,R
Exiled,R
The Sweeney,R
Falcon Rising,R
Zipper,R
Sexy Beast,R
Easy Money,R
Night Watch,R
Survival of the Dead,R
Porky's,R
The Crying Game,R
Lost in Translation,R
The Boy Next Door,R
Leaving Las Vegas,R
Monster's Ball,R
Boyhood,R
The Kids Are All Right,R
A Haunted House 2,R
They Live,R
The Wash,R
3 Strikes,R
The Cooler,R
The Night Listener,R
The Jerky Boys,R
The Orphanage,R
The Rules of Attraction,R
Let's Go to Prison,R
Four Rooms,R
Secretary,R
The Real Cancun,R
Talk Radio,R
Waiting for Guffman,R
Love Stinks,R
You Kill Me,R
Thumbsucker,R
Red State,R
The Barbarians,R
Poolhall Junkies,R
The Loss of Sexual Innocence,R
Joe,R
Prison,R
Adore,R
The Big Tease,R
Mondays in the Sun,R
Trust,R
An Everlasting Piece,R
Among Giants,R
The Velocity of Gary,R
Stake Land,R
The Last Time I Committed Suicide,R
Another Happy Day,R
Inescapable,R
A Lonely Place to Die,R
Nothing,R
The Loved Ones,R
No Vacancy,R
The Veil,R
Chain of Command,R
Down for Life,R
The Good Heart,R
House of Sand,R
Four Lions,R
Defendor,R
The Ballad of Cable Hogue,R
The History Boys,R
Midnight Cowboy,R
The Full Monty,R
Menace II Society,R
Friday,R
The Witch,R
Creepshow 2,R
Frenzy,R
I Got the Hook Up,R
She's the One,R
Train,R
Gods and Monsters,R
Evil Dead II,R
La otra conquista,R
Ira & Abby,R
Winter Passing,R
Taxman,R
In the Name of the King: The Last Job,R
Lords of London,R
Margin Call,R
Choke,R
Human Traffic,R
The Dead Girl,R
Class of 1984,R
Dreaming of Joseph Lees,R
Rosemary's Baby,R
Maria Full of Grace,R
Beginners,R
Feast,R
Animal House,R
Paranormal Activity 2,R
The Purge,R
Sinister,R
The Original Kings of Comedy,R
Bowling for Columbine,R
A Nightmare on Elm Street 2: Freddy's Revenge,R
Slow West,R
Jason Lives: Friday the 13th Part VI,R
Martin Lawrence Live: Runteldat,R
Jason Goes to Hell: The Final Friday,R
Dave Chappelle's Block Party,R
Krush Groove,R
Next Day Air,R
Trippin',R
Before Midnight,R
Phantasm II,R
Woman Thou Art Loosed,R
East Is East,R
Border,R
Whipped,R
Kama Sutra: A Tale of Love,R
Frances Ha,R
Please Give,R
Warlock: The Armageddon,R
8 Heads in a Duffel Bag,R
Thirteen Conversations About One Thing,R
Compadres,R
Jawbreaker,R
Basquiat,R
Tsotsi,R
DysFunktional Family,R
Tusk,R
Bachelorette,R
Freeway,R
Chain Letter,R
Tim and Eric's Billion Dollar Movie,R
The Eclipse,R
Summer Storm,R
Fort McCoy,R
Just Looking,R
The Divide,R
Tanner Hall,R
My Big Fat Independent Movie,R
Demonic,R
They Came Together,R
Barry Munday,R
Chicago Overcoat,R
Never Back Down 2: The Beatdown,R
AWOL-72,R
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,R
Something Wicked,R
Unnatural,R
Central Station,R
Boynton Beach Club,R
High Tension,R
Hustle & Flow,R
Friday the 13th Part VII: The New Blood,R
Beer League,R
Diary of the Dead,R
Ulee's Gold,R
Blazing Saddles,R
Friday the 13th: The Final Chapter,R
Maurice,R
Timecrimes,R
Timber Falls,R
A Haunted House,R
Kevin Hart: Let Me Explain,R
Garden State,R
Halloween III: Season of the Witch,R
Religulous,R
The Spectacular Now,R
My Own Private Idaho,R
Jesus' Son,R
Final Justice,R
Saving Face,R
My Life Without Me,R
Super,R
8: The Mormon Proposition,R
Anatomy,R
The Calling,R
Alien Uprising,R
The Rise of the Krays,R
Get on the Bus,R
Idiocracy,R
The Toxic Avenger Part II,R
Eden,R
Friday the 13th Part III,R
Friday the 13th: A New Beginning,R
Impact Point,R
Jack Brooks: Monster Slayer,R
Bully,R
Elling,R
Mi America,R
[Rec],R
